"","rule","precision","recall"
"31","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.7065371,0.086568396
"32","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected},{saml.status.channel_B_CS_unknown}>",0.7065371,0.086568396
"33","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.70652495,0.093756647
"34","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70652495,0.093756647
"35","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.70652495,0.093756647
"36","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70652495,0.093756647
"37","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running},{saml.status.channel_B_CS_unknown}>",0.70629151,0.096148046
"38","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.70629151,0.096148046
"39","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running},{saml.status.channel_B_CS_unknown}>",0.70629151,0.096148046
"40","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.70629151,0.096148046
"41","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected},{saml.status.channel_B_CS_unknown}>",0.70620376,0.102718001
"42","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected},{saml.status.channel_B_CS_unknown}>",0.70600971,0.104861182
"43","<{saml.status.channel_B_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_B_CS_unknown}>",0.70592948,0.102358717
"44","<{saml.status.channel_B_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.70592948,0.102358717
"45","<{saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_B_CS_unknown}>",0.70592948,0.102358717
"46","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected},{saml.status.channel_B_CS_unknown}>",0.70582838,0.084425206
"47","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70577197,0.081037705
"48","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70577197,0.081037705
"49","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70577197,0.081037705
"50","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.7055533,0.101470952
"51","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.70502097,0.105552821
"52","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70497979,0.075665804
"53","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running},{saml.status.channel_B_CS_unknown}>",0.70486014,0.094004856
"54","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.70486014,0.094004856
"55","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running},{saml.status.channel_B_CS_unknown}>",0.70486014,0.094004856
"56","<{saml.status.channel_A_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.70470541,0.107050146
"57","<{saml.status.channel_A_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70470541,0.107050146
"58","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_B_CS_unknown}>",0.70375557,0.101777322
"59","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.70339606,0.078118081
"60","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70339606,0.078118081
"61","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.70339606,0.078118081
"62","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70304853,0.095827378
"63","<{saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_B_CS_unknown}>",0.7029883,0.102358717
"64","<{saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.7029883,0.102358717
"65","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_A_CS_unknown}>",0.70298211,0.111021394
"66","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70298211,0.111021394
"67","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_B_CS_unknown}>",0.70291666,0.099634138
"68","<{saml.status.channel_A_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70264724,0.105129136
"69","<{saml.status.channel_A_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70264724,0.105129136
