"","rule","precision","recall"
"2710","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line1_nok,saml.status.energy_net2_disconnected},{saml.status.channel_B_CS_unknown}>",0.56169099,0.071315806
"2711","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line1_nok,saml.status.energy_net2_disconnected},{saml.status.channel_B_CS_unknown}>",0.56169099,0.071315806
"2712","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.56149784,0.135660577
"2713","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_B_CS_unknown}>",0.56113817,0.060661896
"2714","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok},{saml.status.channel_B_CS_unknown}>",0.56111886,0.144398302
"2715","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.56111886,0.144398302
"2716","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.56099831,0.126436344
"2717","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line1_nok,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.5609286,0.087706723
"2718","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.5606713,0.099904756
"2719","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.56064929,0.135788841
"2720","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_not_present},{saml.status.channel_CS_unknown}>",0.56064235,0.142528183
"2721","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok},{saml.status.channel_B_CS_unknown}>",0.56056368,0.132614356
"2722","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running},{saml.status.channel_CS_unknown}>",0.56031331,0.122584991
"2723","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.56031331,0.122584991
"2724","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok},{saml.status.channel_B_CS_unknown}>",0.55969029,0.143417912
"2725","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55969029,0.143417912
"2726","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_A_CS_unknown}>",0.55905483,0.057585183
"2727","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55904302,0.10485473
"2728","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55904302,0.102680812
"2729","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55904302,0.10485473
"2730","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55904302,0.102680812
"2731","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55904302,0.102680812
"2732","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok},{saml.status.channel_CS_unknown}>",0.55883205,0.168480402
"2733","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.55844018,0.056220085
"2734","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.55844018,0.056220085
"2735","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.55844018,0.056220085
"2736","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.55844018,0.056220085
"2737","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.55844018,0.056220085
"2738","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55815925,0.123148506
"2739","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55811957,0.124212336
"2740","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_CS_unknown}>",0.55805115,0.091439361
"2741","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55794601,0.130310624
"2742","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55794601,0.130310624
"2743","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55794288,0.129246794
"2744","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55786636,0.138874154
"2745","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present},{saml.status.channel_A_CS_unknown}>",0.55724068,0.05157179
"2746","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_A_CS_unknown}>",0.55724068,0.05157179
"2747","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55721167,0.131281076
"2748","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55691398,0.138874154
"2749","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.55687852,0.130527451
"2750","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55687852,0.130527451
"2751","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.55687852,0.130527451
"2752","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55687852,0.130527451
"2753","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok},{saml.status.channel_CS_unknown}>",0.55685245,0.127579615
"2754","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55685245,0.127579615
"2755","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected},{saml.status.channel_CS_unknown}>",0.55680069,0.159992529
"2756","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55680069,0.159992529
"2757","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55664468,0.157570717
"2758","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.55659536,0.062809007
"2759","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.55659536,0.062809007
"2760","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line1_nok,saml.status.energy_net2_disconnected},{saml.status.channel_B_CS_unknown}>",0.55658078,0.095169546
"2761","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55642773,0.129246794
"2762","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55642773,0.129246794
"2763","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_net1_not_present},{saml.status.channel_CS_unknown}>",0.55641493,0.146444893
"2764","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_net1_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55641493,0.146444893
"2765","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present},{saml.status.channel_CS_unknown}>",0.55641493,0.146444893
"2766","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55641493,0.146444893
"2767","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok},{saml.status.channel_CS_unknown}>",0.5561595,0.115090298
"2768","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok},{saml.status.channel_CS_unknown}>",0.5561595,0.115090298
"2769","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok},{saml.status.channel_CS_unknown}>",0.5561595,0.115090298
"2770","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok},{saml.status.channel_CS_unknown}>",0.5561595,0.115090298
"2771","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55615392,0.116285198
"2772","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55615392,0.11411128
"2773","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55615392,0.116285198
"2774","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55615392,0.11411128
"2775","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55615392,0.11411128
"2776","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55615392,0.11411128
"2777","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55615392,0.11411128
"2778","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55615392,0.11411128
"2779","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55615392,0.11411128
"2780","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55615392,0.11411128
"2781","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55615392,0.11411128
"2782","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55603984,0.166233916
"2783","<{saml.status.channel_CS_unknown,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55584574,0.172167852
"2784","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55584574,0.172167852
"2785","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55584574,0.172167852
"2786","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55584574,0.172167852
"2787","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.55581377,0.129642496
"2788","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55581377,0.129642496
"2789","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.55581377,0.129642496
"2790","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok},{saml.status.channel_CS_unknown}>",0.55573888,0.157570717
"2791","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2792","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2793","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2794","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2795","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2796","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2797","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2798","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2799","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2800","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net1_not_present},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2801","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_B_CS_unknown}>",0.55548863,0.054525587
"2802","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line1_nok,saml.status.energy_net2_disconnected},{saml.status.channel_B_CS_unknown}>",0.55543548,0.096731341
"2803","<{saml.status.channel_CS_unknown,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55539429,0.143270973
"2804","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line1_nok,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.5553069,0.087706723
"2805","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok},{saml.status.channel_CS_unknown}>",0.5551479,0.126537945
"2806","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.5551479,0.126537945
"2807","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_disconnected},{saml.status.channel_B_CS_unknown}>",0.55506473,0.131686716
"2808","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_net1_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55506473,0.131686716
"2809","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55480443,0.114414623
"2810","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55480443,0.114414623
"2811","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55480443,0.114414623
"2812","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55466421,0.108810242
"2813","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55466421,0.108810242
"2814","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_line2_nok},{saml.status.channel_CS_unknown}>",0.5545192,0.166354245
"2815","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55416592,0.163504655
"2816","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55416592,0.163504655
"2817","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55416592,0.163504655
"2818","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55416592,0.163504655
"2819","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line2_nok},{saml.status.channel_B_CS_unknown}>",0.55416459,0.17980468
"2820","<{saml.status.channel_A_CS_unknown,saml.status.energy_net1_disconnected},{saml.status.channel_B_CS_unknown}>",0.55413507,0.168565596
"2821","<{saml.status.channel_A_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55413507,0.168565596
"2822","<{saml.status.channel_B_CS_unknown,saml.status.channel_B_down,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.55380953,0.0186285808
"2823","<{saml.status.channel_CS_unknown,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55380385,0.141097063
"2824","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55380385,0.141097063
"2825","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55380385,0.141097063
"2826","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55380385,0.141097063
"2827","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55373508,0.128430129
"2828","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55370957,0.178471406
"2829","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line1_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net2_disconnected},{saml.status.channel_B_CS_unknown}>",0.55358933,0.096149946
"2830","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_disconnected},{saml.status.channel_B_CS_unknown}>",0.55355212,0.130706316
"2831","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.55355212,0.130706316
"2832","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55338827,0.09844111
"2833","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55338827,0.09844111
"2834","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_SAI_line1_nok,saml.status.energy_net2_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55338827,0.09844111
"2835","<{saml.status.channel_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55313124,0.140185659
"2836","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_disconnected},{saml.status.channel_CS_unknown}>",0.55312254,0.145994223
"2837","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_net1_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_CS_unknown}>",0.55312254,0.145994223
"2838","<{saml.status.channel_B_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55301333,0.141097063
"2839","<{saml.status.channel_A_CS_unknown,saml.status.channel_CS_unknown,saml.status.energy_net2_disconnected},{saml.status.channel_CS_unknown}>",0.55301333,0.141097063
